trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,12.875687042000209,13.868747958999847,13.87483233399962,up,0,0.903467166000155,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
1,0,1,0,14.872416500000327,15.803952750000462,15.87125508400004,down,0,0.5040444159994877,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
2,0,2,0,16.325937042000078,17.311574833999657,17.321300667000287,down,0,0.31381354099994496,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
3,0,3,0,17.650841249999758,18.62943841699962,18.642135500000222,down,1,0.3654962489999889,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
4,0,4,0,19.02173466699969,20.00420912499976,20.01079970899991,down,0,0.4336005409995778,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
5,0,5,0,20.455289249999623,21.437724999999773,21.44385987500027,down,1,0.41302916600034223,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
6,0,6,0,21.870323250000183,22.854317000000265,22.86038120900048,down,1,0.4022023329998774,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
7,0,7,0,23.27658679199976,24.263336834000256,24.271064958999887,down,1,0.3278544579998197,None,3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
8,0,8,0,24.609482208999907,25.595147166999595,25.604548416999933,up,0,0.4323567500005083,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
9,0,9,0,26.042929584000376,27.029191042000093,27.03785708400028,down,1,0.39012124899909395,None,-2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
10,0,10,0,27.43769175000034,28.421461834000183,28.42734287500025,up,1,0.30055074999927456,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
11,0,11,0,28.73869429200022,29.721331333999842,29.72783129199979,down,0,0.36230820799937646,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
12,0,12,0,30.105497542000194,31.088004541999908,31.093954375000067,down,0,0.32120416599991586,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
13,0,13,0,31.426759541999672,32.41296912500002,32.421408791999966,up,1,0.3923898749990258,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
14,0,14,0,32.82249945900003,33.804818624999825,33.822144708999986,up,0,0.26674645799903374,None,-5,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
15,0,15,0,34.08734179200019,35.071552958999746,35.07738179199987,down,1,0.27509741599988047,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
16,0,16,0,35.371297292000236,36.35548512500009,36.36151141699975,down,1,0.45375029099977837,None,2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
17,0,17,0,36.82666683400021,37.813576458999705,37.82175866699981,down,0,0.2999885409999479,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
18,0,18,0,38.13809516699985,39.12189649999982,39.12822324999979,up,1,0.45032158300000447,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
19,0,19,0,39.58838050000031,40.57180458400035,40.577812874999836,down,1,0.47127858200019546,None,2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
20,0,20,0,41.06108854200011,42.04707795899958,42.05527454200001,up,0,0.44454591599969717,None,-3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
21,0,21,0,42.509838083999966,43.496973084000274,43.50536637500045,down,0,0.5323514989995601,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
22,0,22,0,44.05502008399981,45.038863583999955,45.04482408399963,down,1,0.4840198749998308,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
23,0,23,0,45.53975904199979,46.52212099999997,46.52856716699989,down,1,0.35094074999960867,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
24,0,24,0,46.89010374999998,47.8721001670001,47.88940158399964,down,1,0.32654579100017145,None,-4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
25,0,25,0,48.222210292000455,49.20576862500002,49.21184274999996,up,0,0.6001036249999743,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
26,0,26,0,49.823123916999975,50.80557904200032,50.81211862500004,down,1,0.5912157080001634,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
27,0,27,0,51.4232239590001,52.4056901670001,52.41154291699968,up,1,0.4123299160000897,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
28,0,28,0,52.83890529200016,53.822430459000316,53.82848854199983,up,1,0.3452199989997098,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
29,0,29,0,54.188780958999814,55.17242524999983,55.178374459000224,up,1,0.4299907490003534,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
30,0,30,0,55.62369908399978,56.60580991700044,56.623060791999706,up,0,0.316117874000156,None,3,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
31,0,31,0,56.93966179200015,57.92268524999963,57.92907283400018,down,1,0.36681579099968076,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
32,0,32,0,58.3061702089999,59.28928675000043,59.29600916700019,down,1,0.2710315829990577,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
