8.7447 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.8715 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

9.8725 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9fecc1b640>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9fecc1b5b0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9fecc1b430>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f9fecc6c1f0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.8730 	EXP 	window1: mouseVisible = True
9.8732 	EXP 	window1: backgroundImage = ''
9.8733 	EXP 	window1: backgroundFit = 'none'
9.8742 	EXP 	window1: mouseVisible = False
9.8743 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.8743 	EXP 	window1: recordFrameIntervals = False
9.9550 	EXP 	window1: recordFrameIntervals = True
10.7940 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.8601 	EXP 	Created Fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
12.8633 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
12.8662 	EXP 	Created sequence: random, trialTypes=1, nReps=200, seed=None
12.8668 	EXP 	New trial (rep=0, index=0): None
12.8757 	WARNING 	t of last frame was 2081.93ms (=1/0)
12.8757 	EXP 	grating: ori = -4.0
12.8757 	EXP 	Fixation: autoDraw = True
13.8687 	EXP 	grating: autoDraw = True
13.8687 	EXP 	grating: tex = 'sin'
13.8748 	EXP 	Fixation: autoDraw = False
14.1600 	EXP 	grating: autoDraw = False
14.8130 	EXP 	New trial (rep=1, index=0): None
14.8682 	DATA 	Keypress: up
14.8724 	WARNING 	t of last frame was 101.00ms (=1/9)
14.8724 	EXP 	Fixation: autoDraw = False
14.8724 	EXP 	grating: autoDraw = False
14.8724 	EXP 	grating: ori = 0.0
14.8724 	EXP 	Fixation: autoDraw = True
15.8040 	EXP 	grating: autoDraw = True
15.8713 	EXP 	Fixation: autoDraw = False
16.0933 	EXP 	grating: autoDraw = False
16.3179 	EXP 	New trial (rep=2, index=0): None
16.3216 	DATA 	Keypress: down
16.3259 	EXP 	Fixation: autoDraw = False
16.3259 	EXP 	grating: autoDraw = False
16.3259 	EXP 	grating: ori = 0.0
